Name,City,State,Visitors,Rating,Opening Hours,Historical,Natural,Amusement,Beach,Description
British Museum,London,England,6000000,4.8,10 AM - 5:30 PM,5,2,2,0,One of the world's greatest museums of human history and culture.
Tower of London,London,England,3000000,4.7,9 AM - 4:30 PM,5,2,2,0,A historic castle located on the north bank of the River Thames.
Stonehenge,Wiltshire,England,1200000,4.6,9 AM - 8 PM,5,5,1,0,Prehistoric monument in Wiltshire consisting of a ring of standing stones.
Buckingham Palace,London,England,500000,4.7,9:30 AM - 4:15 PM,5,2,2,0,The London residence and administrative headquarters of the monarch of the United Kingdom.
Edinburgh Castle,Edinburgh,Scotland,2000000,4.8,9:30 AM - 6 PM,5,2,2,0,A historic fortress which dominates the skyline of Edinburgh.
Lake District National Park,Cumbria,England,1500000,4.8,24 hours,2,5,2,0,"Known for its glacial ribbon lakes, rugged fell mountains, and historic literary associations."
The Roman Baths,Bath,England,1200000,4.7,9 AM - 9 PM,5,2,2,0,A well-preserved thermae in the city of Bath.
Madame Tussauds Museum,London,England,2500000,4.7,9:30 AM - 5:30 PM,5,2,5,0,A wax museum in London; it was founded by wax sculptor Marie Tussaud.
York Minster,York,England,600000,4.8,7 AM - 6:30 PM,5,2,2,0,One of the largest cathedrals of its kind in Northern Europe.
The Shard,London,England,2000000,4.7,10 AM - 10 PM,2,2,5,0,"A 95-storey supertall skyscraper in Southwark, London."
Hyde Park,London,England,1200000,4.6,5 AM - Midnight,2,5,2,0,One of the largest parks in London and one of the Royal Parks of London.
Natural History Museum,London,England,5000000,4.8,10 AM - 5:50 PM,5,2,2,0,A natural history museum that exhibits a vast range of specimens from various segments of natural history.
Kew Gardens,Richmond,England,1400000,4.7,10 AM - 7 PM,2,5,2,0,A botanical garden in southwest London that houses the largest and most diverse botanical and mycological collections in the world.
Chatsworth House,Derbyshire,England,600000,4.7,10:30 AM - 5 PM,5,2,2,0,"A stately home in Derbyshire, England, which is the seat of the Duke of Devonshire."
Windsor Castle,Windsor,England,1500000,4.8,10 AM - 5:15 PM,5,2,2,0,A royal residence at Windsor in the English county of Berkshire.
Stirling Castle,Stirling,Scotland,500000,4.7,9:30 AM - 5 PM,5,2,2,0,One of the largest and most important castles in Scotland.
The Eden Project,Cornwall,England,1000000,4.7,10 AM - 6 PM,2,5,3,0,"A popular visitor attraction in Cornwall, England, housing the largest greenhouse in the world."
Giant's Causeway,County Antrim,Northern Ireland,800000,4.8,9 AM - 7 PM,2,5,1,0,"An area of about 40,000 interlocking basalt columns, the result of an ancient volcanic fissure eruption."
Hadrian's Wall,Northumberland,England,500000,4.7,10 AM - 5 PM,5,5,1,0,"A defensive fortification in the Roman province of Britannia, begun in AD 122 in the reign of the emperor Hadrian."
The Scottish Highlands,Highland,Scotland,1200000,4.9,24 hours,2,5,2,0,A mountainous region in northwest Scotland known for its scenic beauty and outdoor activities.
Loch Ness,Highland,Scotland,800000,4.8,24 hours,2,5,2,0,"A large, deep, freshwater loch in the Scottish Highlands."
Glastonbury Tor,Somerset,England,300000,4.7,24 hours,5,5,1,0,A hill near Glastonbury in the English county of Somerset.
Liverpool Cathedral,Liverpool,England,500000,4.8,8 AM - 6 PM,5,2,2,0,A Church of England cathedral and the seat of the Bishop of Liverpool.
Snowdonia National Park,Gwynedd,Wales,1000000,4.9,24 hours,2,5,2,0,A national park and a region in northwestern Wales concentrated around the mountains of Snowdonia.
