Attraction,Noel,Harsh,Vikranth,Muthuraj,Armaan
Tirumala Venkateswara Temple,3.1836227525652285,4.199838981181806,1.7871477310430026,4.8,3.7822166093204714
Araku Valley,2.6357964323271657,4.5,4.5,4.5,2.8825313198256777
Borra Caves,1.7831983827942655,2.6971133695386746,0.9990590617238538,3.2163169209185734,1.3897546985965519
Ramakrishna Beach,3.2270584991097433,4.3,2.522846200092679,4.4428797149570185,2.864903007270616
Srisailam,3.659515030439291,4.5,2.066279584600068,4.5,3.4968437552458864
Kanaka Durga Temple,4.5,4.514197784815623,2.6383235372712197,4.5,4.47107403341227
Undavalli Caves,1.817850005564617,2.711525938208194,1.008926214416755,3.2225052803285106,1.3940370928310062
Lepakshi,4.5,4.642755989098726,4.5,3.6335380862250792,2.6788780302593627
Ahobilam Temple,3.065351078805624,4.6,4.6,4.207413540711569,3.5472509103223056
Kailasagiri,1.8031252492894487,2.6995425906947372,0.9987304497598295,3.2134253003084754,1.3834564162079135
Gandikota,2.7909460638245283,3.885309325307143,1.6345275464087767,4.5,3.293118108199571
Thotlakonda Buddhist Complex,4.4,3.495149510752489,-0.13236961923250845,4.4,4.4
Kolleru Lake,3.33700694760846,4.01703905346492,2.1955701065658086,4.2,4.2
Manginapudi Beach,2.1950126031298804,3.379572909283012,1.1068494152418427,4.1,2.7105617591138245
Sri Venkateswara National Park,4.3,4.1723397928269215,1.9823327456912168,4.3,3.51170105762586
Pavurallakonda,1.8537209922796387,3.3105185126316665,4.2,2.857973828438536,0.9961453868577518
Yaganti Temple,1.8005761170062091,2.7014617590707894,0.9888839744344345,3.2187458279205763,1.3870194130813212
Maredumilli,4.5,4.5,2.4793428740502854,4.5,4.5
Rajahmundry Godavari Bridge,4.4,4.756310877461353,3.0836994736019205,4.612381979406456,3.8098475349369583
Draksharamam Temple,4.5,3.717261540641049,1.3948115971896589,4.0360289532381195,3.82631146592312
Suryalanka Beach,2.2636015205780655,3.731259416801642,2.1762720358906273,4.3,4.3
Sankaram,4.2,3.844091698363176,2.9770528055800534,3.6511366738583977,2.7904425667886557
Simhachalam Temple,3.62877095924755,4.5,2.792235263664696,4.389493197673671,3.53370452118409
VUDA Park,4.2,4.2,4.2,3.346913315919058,2.3436811708729155
