Attraction,Noel,Harsh,Vikranth,Muthuraj,Armaan
Tirumala Venkateswara Temple,2.783465608393813,4.0496838811671205,1.1968863535810133,4.8,3.1368233897976188
Araku Valley,4.5,4.55013550825346,0.3946904298458982,4.5,3.4089246686202244
Borra Caves,3.1513090096214214,3.7506318837970016,2.1465472751858203,4.561551803090793,4.4
Ramakrishna Beach,0.7071778685262702,2.7386897905787375,4.3,2.4925581984853293,0.6096876852869454
Srisailam,2.0486742782650063,2.782627644290914,0.9703661725348501,3.206618638937314,1.6086278272530632
Kanaka Durga Temple,4.5,4.80702748129216,4.5,4.244245110205495,4.193604957678413
Undavalli Caves,2.4517681670031717,3.101817021758345,3.58274905955534,4.047491809327593,4.4
Lepakshi,4.5,5.03882711569269,4.5,3.9903450645218927,3.1152055991283945
Ahobilam Temple,3.3330339799698345,4.6,4.6,4.125295268605357,3.249458859546513
Kailasagiri,3.3818057169520577,4.3,1.9361606534843703,4.069161744599257,2.415571497215502
Gandikota,2.049017564256798,2.7827999356498476,0.9685035984428965,3.2069957337512007,1.6082991990163684
Thotlakonda Buddhist Complex,2.0482456158823603,2.7822927453099577,0.9687382344597276,3.2065972669965688,1.6076436417013935
Kolleru Lake,3.2629334036717665,4.2,1.8126545545515644,4.2,2.6162765258427356
Manginapudi Beach,4.1,4.171694392295073,2.1776715708161314,3.905345788925149,3.1447226196675957
Sri Venkateswara National Park,2.047621272585276,2.7816824343322435,0.9695597241353825,3.205893145141333,1.6070079389565606
Pavurallakonda,3.609651982894702,4.4701311215317645,4.2,4.391215176730707,4.2
Yaganti Temple,3.195704891478891,3.993973063604348,0.6918765538556255,4.4,3.043019679249097
Maredumilli,2.8171676600709397,3.905737001393176,4.5,4.5,4.5
Rajahmundry Godavari Bridge,2.3042087626337895,3.803015575587424,4.4,3.92044878972926,3.0298040865736993
Draksharamam Temple,2.0482173086668496,2.7822931643095234,0.9696368489343504,3.2066587783839466,1.6083571687704121
Suryalanka Beach,2.500507314914054,3.6627737601706905,1.2621445646913902,4.3,2.6053543133950976
Sankaram,3.1839142176549977,4.2,2.1017486366541513,4.2,2.5871063851430107
Simhachalam Temple,2.049206670159824,2.7833222382465497,0.9688548424126798,3.207241983210496,1.6082777963064774
VUDA Park,4.2,4.2,1.6677827874859148,3.751659389925005,2.72593538140262
Dwaraka Tirumala,2.0481738203886146,2.782094739210045,0.9689714494213988,3.206368452075063,1.607854724025914
Sriharikota,4.3,3.9933629132150483,1.8330098901685798,4.276685443086901,4.3
Bavikonda,2.426037703182906,3.1830229088539554,3.5480229394593286,4.04841323919245,4.2
Belum Caves,2.0485801839222577,2.782609296637233,0.9686542441284721,3.2070646260231084,1.608402732745853
Annavaram Temple,4.5,4.000698318974863,1.8163737074161768,3.655763936327536,3.6423035750392976
Nagarjunakonda,3.114064680011202,3.7392378082723003,2.2116201087403433,4.508288043846675,4.3
Mysore Palace,2.6321285090326496,4.29002752884891,4.7,4.7,4.034508035762528
Bangalore Palace,4.4,3.2829264475807087,1.5892657546975055,2.5692785034077525,2.337719437432184
Hampi,3.56279499839509,4.7,4.7,4.7,4.264166540858967
Coorg,2.047814513532569,2.7817341237494517,0.9679028577503117,3.2062492729081944,1.6074549917136103
Lalbagh Botanical Garden,2.6674458379071115,4.051061445961466,4.5,3.7469971720567186,2.69771116362796
Bannerghatta National Park,4.3,4.3,1.5695102741569789,4.382670477932834,4.3
Chikmagalur,4.6,4.058117923381159,4.6,3.194460910092299,4.6
Badami Caves,4.5,4.5,0.7756320034217804,3.485661694566865,1.5231104691100557
Nandi Hills,3.7797294190891098,4.755771809382898,4.4,4.817284061402664,4.4
Jog Falls,4.5,2.6206251466688224,-0.48979803305806247,2.0217534705551445,1.8212006361906115
Gokarna,2.0484715160989624,2.7822258950371794,0.9679043275585542,3.2065621896319794,1.6077664204134965
Shravanabelagola,2.049166378427878,2.7831141384526843,0.9692197530332728,3.206763777647452,1.6077334359683428
Gol Gumbaz,3.013493270902405,3.698835506027868,2.7423391636001906,4.463796889926711,4.4
Murudeshwar,3.3132893525078044,3.921957147568442,2.177925652198463,4.6737398643057775,4.5
Kabini Wildlife Sanctuary,3.512195412746686,4.6,2.1753138021814555,4.29875951507492,2.575965713409646
Bhadra Wildlife Sanctuary,4.4,4.4,4.4,3.2994923822856923,2.9716125768320367
Dandeli,2.855761684740918,3.5777243689213334,4.5,4.053777976315572,4.5
Kudremukh,2.0503521371086357,2.7826413367816283,0.9686442760579589,3.2057858943213717,1.6082896516633063
Kemmangundi,2.0485759240071277,2.7823380075732613,0.9688719567171841,3.206447516147967,1.607844101814929
Agumbe,3.3784894422518006,4.3,1.916855937533981,4.115723247797314,2.478737628545223
Chitradurga Fort,3.045231481001051,3.8342503820993454,4.5,3.3809814460143754,2.6846308102730774
Anshi National Park,2.0483113524336503,2.7826880168058845,0.9688649430503582,3.206797055635999,1.607568962627867
Ramanagara,1.994268763805862,3.1697280960330696,4.3,3.172833336424443,2.6349673211947984
Savandurga,1.5316273220041905,2.3755985664469237,2.3206288410291105,3.9462929712395534,4.4
Horanadu,2.049694352527189,2.783282976239846,0.968677818342821,3.2066836991405294,1.6074816332773563
Udupi Sri Krishna Matha,3.2312432532434414,3.7764954949037057,2.0056119214708508,4.616583528079749,4.5
Kukke Subramanya Temple,4.5,4.430871657394087,1.4722074276311488,4.722840677436743,4.5
Somnathpur Temple,2.0489949733605486,2.7824919793142633,0.9683568766746793,3.2068066199354344,1.6085309615192427
Bandipur National Park,4.3,4.591515334227575,-0.23565078738242207,4.363741184992124,2.291940850580234
Gavi Gangadhareshwara Temple,2.0482999730155766,2.7822280160873865,0.9691618793063167,3.2062295432590937,1.60757866495591
Munnar,2.048786467818153,2.782314007661326,0.9694592500706435,3.2059703072874304,1.6074967758918473
Alleppey Backwaters,2.049142894763173,2.7822330446470125,0.9685249967982226,3.206282991271072,1.6082047068385528
Kumarakom,3.7022288439266,4.5,4.5,3.9432622257231786,3.304006305329425
Thekkady,2.7733748809560947,3.560024593953405,4.5,2.9734026652923204,2.0841620538471624
Wayanad,3.058233780728537,4.40567799949578,4.5,4.5,3.8243963945352837
Kochi Fort,2.0490700444469954,2.782819640166271,0.9689241913078565,3.2065700938042627,1.607581193530899
Varkala Beach,4.6,4.694836645214275,2.1542557566416853,4.6,4.6
Bekal Fort,2.7099864498468373,3.734154578503417,0.808650618815745,4.5,2.9589180387201934
Athirapally Waterfalls,3.608348562993161,4.5,2.0814172371040254,4.153928729260077,2.5601402064891716
Sree Padmanabhaswamy Temple,2.7228950194182993,3.492759318679978,3.193180737684533,4.4477122816928745,4.7
Poovar Island,2.0490410471148803,2.7828850187019034,0.9688100651396392,3.207210922836822,1.6087802424802218
Kovalam Beach,2.662833831933372,3.730221227967132,0.8928909108639125,4.5,2.9386078866711447
Periyar Wildlife Sanctuary,2.666093865200226,3.7089723241937227,0.9416475840551238,4.4,2.826205039405822
Vagamon,4.5,4.257899245104728,1.2894780978119247,3.7258470358642195,2.705804340441129
Ponmudi,4.4,4.4,4.250215623757961,4.011513151814681,4.4
Silent Valley National Park,2.049059551327301,2.7831570399190544,0.9700709380485512,3.20774272343043,1.6093158816922688
Thrissur Pooram,2.048047234199596,2.7821468714544784,0.9676054777009881,3.206199359893171,1.606693219536243
Guruvayur Temple,4.7,4.813192706003358,4.7,3.5706046835249303,3.400768841497356
Munroe Island,3.457728737987133,4.5,2.2048515904318613,4.173007529262585,2.4048169489571944
Ashtamudi Lake,2.048665782115318,2.783238247443335,0.9689100184710487,3.2070864542675093,1.6073888415470543
Nelliampathy,2.04826258002637,2.7820792520418878,0.9689377797603349,3.20640586085288,1.6078600241360739
Malampuzha Dam,2.292573370592671,4.3,4.3,3.5491624659638688,1.3629543636966657
Thiruvananthapuram Zoo,1.7696366491135957,2.710575599308883,2.177531928776933,4.077688449812185,4.2
Cherai Beach,2.5518191041347595,3.9629317205560675,4.5,4.5,3.969794215132473
Edakkal Caves,3.415981288036493,4.235115252015457,4.3,4.387883211006277,4.3
Marari Beach,2.0486078351963437,2.782639396645937,0.9687709650814945,3.2070351715631538,1.6082259936239869
Anamudi Peak,2.796764277479369,3.7463231346250847,0.7069763067283139,4.5,3.0719147140331833
Veli Tourist Village,3.1231512528236958,3.587376924963664,2.1160172862393374,4.3,4.3
Kottayam,2.0495954088506547,2.7830924123049012,0.9692183651675681,3.2068774367817707,1.6087263545885986
Kuttanad,2.955001600888238,4.5,4.5,4.335145475758949,3.1902826419863626
Madurai Meenakshi Amman Temple,4.5,4.5,1.5761271018959218,3.476157554690115,2.049019552984494
Kapaleeshwarar Temple,2.633860460864315,3.8149301172784496,1.1895751099267204,4.5,2.8351796927017263
Marina Beach,2.0485706966143815,2.7824601279340153,0.9686680806309259,3.2065144815398345,1.607647626315422
Brihadeeswara Temple,2.048596082429654,2.7829518294232956,0.9700887640547725,3.207204594310603,1.6086047633924996
Besant Nagar Beach,2.8224550979698773,3.8813720566051195,4.0,3.668966145070926,2.71203848432796
Arulmigu Ramanatha Swamy Temple,3.533768106275509,4.5,2.010334523442082,4.233672719558349,2.5537644172978418
Snow Kingdom,4.496027914483576,5.0,5.0,3.9756143295187245,3.612072260481241
Monuments at Mahabalipuram,4.5,3.301411591970205,1.6746133233468745,3.488769546294789,4.5
Vivekananda Rock Memorial,3.2381695756073956,3.7708451312550864,2.529998832660687,4.5,4.5
Chettinad,4.267833782702125,4.541500630500039,2.39064454394211,5.035100349137658,5.0
Kumbakonam,3.667770339298555,4.6,2.1897283014216504,4.296365290057739,2.7059620988181123
Trichy (Tiruchirappalli),2.9382471840605473,3.5840404482912156,2.3742806296913654,4.401754773124211,4.1
Chidambaram,2.5254643651560187,3.9725462280241146,4.6,4.6,4.6
Nagapattinam,3.6287003047289264,5.0,5.0,5.0,4.508425590966636
Vedanthangal Bird Sanctuary,2.049055058162184,2.7828481265484366,0.9699172730287112,3.206629683826802,1.6081132121258443
Tharangambadi (Tranquebar),5.0,5.0,0.7107730580379275,4.461907999720661,2.829844022478059
Courtallam (Kutralam),3.227202102441316,4.2,1.835814131306151,4.039586834833877,2.3266556509483687
Bellikkal,1.3108879027635112,2.8084538834015857,4.5,3.5935523640232065,2.945317381999411
Vellore Fort,2.0486920294141835,2.7823099416748236,0.9682041580855653,3.2060962775258095,1.6068249672344928
Yercaud,3.023853962829541,4.3,4.3,3.9100628763109118,2.775503437277115
Kodaikanal Lake,3.4423912940275914,4.4,1.5497397751488426,4.4,2.9426196942791165
Hogenakkal Falls,2.048731127243953,2.7819628935437977,0.968137558244869,3.2066044202918116,1.6086653184578232
Ooty Lake,3.268843532805408,4.458471780155639,4.2,4.021621609103603,2.8149874026800976
Mysore Palace,2.049826048420627,2.7834136585266847,0.9695487627121946,3.20656972262429,1.6076951708158438
Nilgiri Mountain Railway,2.048893513106501,2.7827649042511635,0.9694443954698843,3.2066710898303614,1.6081529569405568
Annamalaiyar Temple,3.444492158555927,4.5,4.5,3.6146494641237754,2.823770188154076
"Ranganathaswamy Temple, Srirangam",3.6521951369403247,4.5,1.4534992527625534,4.5,3.0361052313274737
Pichavaram Mangrove Forest,2.4587579201324354,3.596150112741744,4.2,3.506388798264452,2.761030785240707
Pulicat Lake,2.9618975188317784,3.325302629039668,4.1,3.1663682683925383,2.7142917136752285
Gangaikonda Cholapuram,4.7,4.865276916080349,1.6645646826463691,5.029387093410778,4.7
Golconda Fort,2.0494589472246356,2.7831229161949134,0.9692974044090583,3.206674405961336,1.608138597485244
Charminar,3.460704352141439,4.4,1.9738862938092299,4.1557566974385285,2.495273736788433
Ramoji Film City,3.117787622070513,4.383605800847175,4.3,4.235082115964808,3.150376513272828
Birla Mandir,3.4665370659700234,4.4,2.004425825966253,4.161973227602237,2.5193575729918964
Salar Jung Museum,3.451117752192123,4.4,1.9952685849694907,4.164130626852986,2.5038891650548076
Nehru Zoological Park,2.047651647374318,2.7821884768425416,0.970203223546389,3.207205580066166,1.6094636345642745
Chowmahalla Palace,4.3,4.409112162884717,4.3,3.9767686600183065,4.3
Hussain Sagar Lake,2.484433943776899,3.6799593775910373,4.1,3.433846693161714,2.277267409906226
Qutub Shahi Tombs,2.049146244732163,2.7830143752958496,0.9690514971161036,3.2067004263512646,1.6076968608298834
Lumbini Park,4.2,4.30025037861672,4.2,3.8961060609592435,4.001000555209253
Snow World,4.1,3.896642723788517,0.7869087456325097,3.4725525423018873,2.268169996336608
KBR National Park,2.0484243792100942,2.7823576146238707,0.9683841883461984,3.2070870591934906,1.6085347370697096
Purani Haveli,2.8870184065699096,4.1,4.1,3.892510211407955,4.1
Taramati Baradari,4.0,4.579480281562644,1.5235113931448812,5.125904783499549,4.0
Shilparamam,1.9504846460861207,2.765525138447087,4.2,3.5468820593733117,4.2
Mecca Masjid,2.991492825817314,4.4,1.5616577470369652,4.336769285912414,2.196354317251064
Birla Planetarium,2.095753583800087,3.0469779544118305,0.7641447252708212,4.1,2.704020770712251
Mrugavani National Park,2.0481921257624207,2.7823492523770765,0.9683899570660974,3.206485607702017,1.6070116977175506
