name,visits,rating,state,country
Munnar,2000000,4.6,Kerala,India
Alleppey Backwaters,1800000,4.5,Kerala,India
Kumarakom,1500000,4.5,Kerala,India
Thekkady,1200000,4.5,Kerala,India
Wayanad,1000000,4.5,Kerala,India
Kochi Fort,900000,4.4,Kerala,India
Varkala Beach,850000,4.6,Kerala,India
Bekal Fort,800000,4.5,Kerala,India
Athirapally Waterfalls,750000,4.5,Kerala,India
Sree Padmanabhaswamy Temple,700000,4.7,Kerala,India
Poovar Island,650000,4.4,Kerala,India
Kovalam Beach,600000,4.5,Kerala,India
Periyar Wildlife Sanctuary,550000,4.4,Kerala,India
Vagamon,500000,4.5,Kerala,India
Ponmudi,450000,4.4,Kerala,India
Silent Valley National Park,400000,4.5,Kerala,India
Thrissur Pooram,350000,4.6,Kerala,India
Guruvayur Temple,300000,4.7,Kerala,India
Munroe Island,250000,4.5,Kerala,India
Ashtamudi Lake,200000,4.4,Kerala,India
Nelliampathy,150000,4.5,Kerala,India
Malampuzha Dam,100000,4.3,Kerala,India
Thiruvananthapuram Zoo,90000,4.2,Kerala,India
Cherai Beach,80000,4.5,Kerala,India
Edakkal Caves,70000,4.3,Kerala,India
Marari Beach,60000,4.4,Kerala,India
Anamudi Peak,50000,4.5,Kerala,India
Veli Tourist Village,40000,4.3,Kerala,India
Kottayam,30000,4.4,Kerala,India
Kuttanad,25000,4.5,Kerala,India
